border-style	google, excel, sheets, sheets
helicopter	land, takeoff, navy, travel, aircraft, platform, fly, pilot, journey, rotorcraft, hover
hexagon-off	six, angle, shape, crossed
hierarchy-2	relation, above, below, status, society, important
hierarchy	relation, above, below, status, society, important
ice-cream-2	sweet, cold, dessert, food, taste, frozen, snack, flavour, flavor, cone
jump-rope	sport, fitness, workout, gym, skipping, cardio, fit, shape
karate	martial, art, self, defence, defend, strike, compat, oriental, fight, kick
keyboard-off	device, type, disconnect, unplug
leaf	nature, plant, tree, autumn, fall, greenery, flower, forest, garden
letter-case-lower	typography, font, text, style, content
letter-case-toggle	typography, font, text, style, content
letter-case-upper	typography, font, text, style, content
letter-case	typography, font, text, style, content
letter-spacing	typography, font, space, character, word
line-dashed	geometric, segment, link, connection
line-dotted	geometric, segment, link, connection
macro	video, photography, photo, camera
manual-gearbox	car, vehicle, torque, transmission, mechanics, motor, engine
map-pins	place, direction, travel, destination, mark, location, address
marquee-2	tag, tracer, html, animation, text, graphic
mask-off	edit, layer, mask, tool, design
mask	edit, layer, mask, tool, design
math-symbols	calculator, equal, plus, multiplication, minus, math
minus-vertical	subtract, less, divide
mood-crazy-happy	good, excited, cheerful, jolly, delighted, lucky
motorbike	engine, ride, trip, journey, road, street, vehicle, motorcycle
number-0	zero, maths, value, quantity, calculate, calculation, total, amount, sum, order, digit
number-1	one, maths, value, quantity, calculate, calculation, total, amount, sum, order, digit
number-2	two, maths, value, quantity, calculate, calculation, total, amount, sum, order, digit
number-3	three, maths, value, quantity, calculate, calculation, total, amount, sum, order, digit
number-4	four, maths, value, quantity, calculate, calculation, total, amount, sum, order, digit
number-5	five, maths, value, quantity, calculate, calculation, total, amount, sum, order, digit
number-6	six, maths, value, quantity, calculate, calculation, total, amount, sum, order, digit
number-7	seven, maths, value, quantity, calculate, calculation, total, amount, sum, order, digit
number-8	eight, maths, value, quantity, calculate, calculation, total, amount, sum, order, digit
number-9	nine, maths, value, quantity, calculate, calculation, total, amount, sum, order, digit
octagon-off	shape, eight, angle, crossed
olympics	game, play, sport, sportsman, champion, win, medal, sporting, event, competition, athlete
overline	above, overbar, overscore, horizontal
pacman	game, play, online, maze, eat, dot, ghost
panorama-horizontal	photo, picture, panoramic
panorama-vertical	photo, picture, panoramic
parachute	plane, aircraft, land, float, pilot
pennant	flag, ship, sports, championship, mark, spot, winner
picture-in-picture-off	size, photo, elements, adjust, image
picture-in-picture-on	size, photo, elements, adjust, image
picture-in-picture	size, photo, elements, adjust, image
pinned-off	removed, attach, corkboard, unfasten, noticeboard
pinned	board, attach, nail, pointed, corkboard, favourite, noticeboard
plant-2	nature, green, flower, pot, tree, leaf, greenery, root, stem, seed
plant	nature, green, flower, pot, tree, leaf, greenery, root, stem, seed
play-card	game, magic, trick, casino, entertainment, spade, heart, diamond, club, playing
player-record	music, song, playlist, melody, device, voice, recorder, dictation, machine
player-stop	music, song, playlist, melody, device, voice, silence, break
player-track-next	music, forward, play, song, playlist
player-track-prev	music, forward, play, song, playlist
playlist	music, song, artist, spotify, track, play, record
pokeball	pokemon, go, catch, game, play
polaroid	picture, photo, camera, polarization, develop, film, lens
pool	swim, water, swimmer, holiday, swimming, vacation, relax, sport
propeller	rotate, blade, spiral, air, ship, fan, power
radius-bottom-left	round, corner, rounded, border, css, style, bottom
radius-bottom-right	round, corner, rounded, border, css, style, top
radius-top-left	round, corner, rounded, border, css, style, bottom
radius-top-right	round, corner, rounded, border, css, style, top
receipt-2	bill, restaurant, shop, price, pay, money, total, tax
receipt-off	bill, restaurant, shop, price, pay, money, total, tax, free
receipt-refund	bill, restaurant, shop, price, pay, money, total, give, back, return
receipt	bill, restaurant, shop, price, pay, money, total, tax
recharging	battery, power, charge, socket, electricity, device, phone, laptop, low
relation-many-to-many	data, model, analysis, multiple, connection, database, link
relation-one-to-many	data, model, analysis, multiple, connection, database, link
relation-one-to-one	data, model, analysis, connection, database, link
report-analytics	statistics, results, business, sales, analysis, analyse, bar, chart
report-medical	hospital, doctor, health, sickness, illness, test, results
report-money	results, business, sales, analysis, analyse, finance, financial, total
report	time, timesheet, analysis, analyse, results, business, company
resize	picture, photo, alter, change, height, width
ripple	wave, water, breeze, ocean, sea
row-insert-bottom	table, layout, add, below, macro, excel
row-insert-top	table, layout, add, below, macro, excel
satellite	orbit, space, moon, earth, planet, communication, information, celestial
scale	weigh, balance, amount, heavy, light, libra
section	html, element, layout, divide, position, website
seeding	nature, greenery, grow, soil, harvest, plant, flower, tree, leaf
settings-automation	system, technology, automate, configure, device, program
shadow-off	dark, sun, area, light, css, effect, clear
shadow	dark, sun, area, covered, dim, light, css, effect
shield-lock	secure, security, closed, key, safety
shopping-cart-off	shop, store, buy, purchase, product, bag, trolley, supermarket, grocery
shopping-cart-plus	shop, store, buy, purchase, product, bag, trolley, supermarket, grocery
shopping-cart-x	shop, store, buy, purchase, product, bag, trolley, supermarket, grocery
shopping-cart	shop, store, buy, purchase, product, bag, trolley, supermarket, grocery
shredder	paper, document, destroy, device, office, confidential
soccer-field	football, pitch, player, vall, goal, goalkeeper, kick, ball, score, sport, sportsman
sock	clothing, clothes, foot, feet, leg, knit, wool, cotton, ankle
speakerphone	voice, loud, microphone, loudspeaker, event, protest, speaker, shout, listen
speedboat	motorboat, holiday, sea, ocean, engine, travel, lake, summer
square-0	zero, number, digit, quantity, amount, order, maths, sum, total
square-1	one, zero, number, digit, quantity, amount, order, maths, sum, total
square-2	two, zero, number, digit, quantity, amount, order, maths, sum, total
square-3	three, zero, number, digit, quantity, amount, order, maths, sum, total
square-4	four, zero, number, digit, quantity, amount, order, maths, sum, total
square-5	five, zero, number, digit, quantity, amount, order, maths, sum, total
